sample,therapy,IGHG12_percent_by_clone
BW_1,before,2.748706153
BW_2,before,14.437076
BW_5,before,17.26964985
BW_8,before,12.59640103
BW_11,before,26.58781362
BW_12,before,12.45870694
BW_13,before,12.32004077
BW_15,before,12.47150765
BW_4,after,41.7895951
BW_6,after,17.51703255
BW_7,after,9.877460082
BW_9,after,22.92134831
BW_10,after,13.24162951
BW_14,after,21.31374723
BW_16,after,4.574749684
BW_17,after,7.114926085
