sample,therapy,IGH_d50
BW_1,before,24.59930314
BW_2,before,3.554520761
BW_5,before,1.958224543
BW_8,before,6.187974314
BW_11,before,4.429111952
BW_12,before,4.312185713
BW_13,before,2.739011347
BW_15,before,4.271872464
BW_4,after,5.688585608
BW_6,after,22.23255814
BW_7,after,10.52031903
BW_9,after,17.71317829
BW_10,after,2.637122572
BW_14,after,0.979403716
BW_16,after,3.852709533
BW_17,after,1.932223543
