sample,therapy,IGHM_percent_by_clone
BW_1,before,77.53881541
BW_2,before,37.92972025
BW_5,before,42.39923834
BW_8,before,13.16766638
BW_11,before,15.99283154
BW_12,before,48.78311872
BW_13,before,38.31698306
BW_15,before,41.41508117
BW_4,after,9.397195411
BW_6,after,39.333838
BW_7,after,31.26624582
BW_9,after,22.17228464
BW_10,after,48.43927141
BW_14,after,33.32871397
BW_16,after,62.40073656
BW_17,after,65.28373867
