sample,therapy,IGHM_IGHD_observed_as_other_isotype
BW_1,before,0.001251564
BW_2,before,0.008522727
BW_5,before,0.00932914
BW_8,before,0.032906764
BW_11,before,0.036594473
BW_12,before,0.009761261
BW_13,before,0.013339133
BW_15,before,0.013594873
BW_4,after,0.013950893
BW_6,after,0.021139706
BW_7,after,0.035037879
BW_9,after,0.04296875
BW_10,after,0.017156226
BW_14,after,0.019440655
BW_16,after,0.005929557
BW_17,after,0.003909026
