sample,therapy,IGK_Largest_clone_percent
BW_1,before,2.416243655
BW_2,before,15.97990035
BW_5,before,2.856688011
BW_8,before,4.753989362
BW_11,before,5.834505998
BW_12,before,1.017341331
BW_13,before,3.179820884
BW_15,before,3.104896941
BW_4,after,2.535583494
BW_6,after,1.207486416
BW_7,after,4.099812181
BW_9,after,4.283567134
BW_10,after,2.326637555
BW_14,after,15.38651397
BW_16,after,0.750737489
BW_17,after,1.638739364
