Gene,log2FC,P-value,FC,significant
TRAV21;TRAJ14,0.00136,0.02669,1.00094,Up
TRAV20;TRAJ60,0.00118,0.02348,1.00082,Up
TRAV18;TRAJ34,0.00108,0.04403,1.00075,Up
TRAV12-3;TRAJ2,0.00089,0.04403,1.00062,Up
TRAV21;TRAJ45,0.00053,0.00599,1.00037,Up
TRAV26-1;TRAJ36,-1.96807,0.04048,0.25559,Down
TRBV7-3;TRBJ2-3,-1.84590,0.01253,0.27818,Down
TRAV27;TRAJ6,-1.79968,0.01304,0.28724,Down
TRBV28;TRBJ1-4,-1.18095,0.04770,0.44106,Down
TRAV12-2;TRAJ47,-0.95840,0.00648,0.51463,Down
TRAV27;TRAJ42,-0.91008,0.00192,0.53216,Down
TRBV27;TRBJ1-6,-0.69308,0.03003,0.61853,Down
TRBV27;TRBJ2-3,-0.66167,0.04824,0.63214,Down
TRBV5-6;TRBJ2-7,-0.58430,0.03889,0.66697,Down
TRAV14DV4;TRAJ57,-0.56599,0.00608,0.67549,Down
TRAV13-1;TRAJ45,-0.51344,0.00320,0.70055,Down
TRAV14DV4;TRAJ52,-0.49519,0.03187,0.70947,Down
TRAV21;TRAJ57,-0.48920,0.03225,0.71242,Down
TRAV21;TRAJ49,-0.45682,0.00843,0.72859,Down
TRAV13-1;TRAJ54,-0.41119,0.01926,0.75200,Down
TRAV17;TRAJ49,-0.34510,0.02519,0.78725,Down
TRBV5-1;TRBJ1-2,-0.33341,0.00155,0.79366,Down
TRBV28;TRBJ2-2,-0.29524,0.00136,0.81494,Down
TRBV7-3;TRBJ1-1,-0.29366,0.00224,0.81583,Down
TRAV23DV6;TRAJ42,-0.28945,0.02827,0.81821,Down
TRAV8-4;TRAJ3,-0.27391,0.04095,0.82707,Down
TRAV35;TRAJ15,-0.26714,0.01737,0.83096,Down
TRBV19;TRBJ1-1,-0.26279,0.04359,0.83348,Down
TRBV28;TRBJ1-6,-0.25031,0.00367,0.84072,Down
TRBV7-9;TRBJ1-1,-0.24689,0.02296,0.84271,Down
TRBV12-3;TRBJ1-1,-0.23031,0.00262,0.85245,Down
TRBV5-6;TRBJ1-1,-0.23012,0.01599,0.85256,Down
TRBV18;TRBJ2-6,-0.21009,0.00981,0.86448,Down
TRBV28;TRBJ1-3,-0.20841,0.04434,0.86549,Down
TRAV13-2;TRAJ38,-0.19844,0.01716,0.87149,Down
TRBV7-3;TRBJ1-2,-0.19760,0.00009,0.87200,Down
TRAV12-3;TRAJ37,-0.18701,0.04664,0.87842,Down
TRAV35;TRAJ31,-0.18622,0.04662,0.87891,Down
TRAV38-2DV8;TRAJ45,-0.18031,0.00354,0.88251,Down
TRBV27;TRBJ2-7,-0.17483,0.04166,0.88587,Down
TRAV29DV5;TRAJ27,-0.17475,0.00753,0.88592,Down
TRAV2;TRAJ42,-0.16479,0.04262,0.89206,Down
TRAV23DV6;TRAJ27,-0.15782,0.02743,0.89638,Down
TRAV25;TRAJ39,-0.14897,0.03933,0.90189,Down
TRAV12-3;TRAJ40,-0.14411,0.04932,0.90494,Down
TRBV25-1;TRBJ2-7,-0.14269,0.04262,0.90583,Down
TRAV26-1;TRAJ44,-0.14014,0.01795,0.90743,Down
TRAV2;TRAJ21,-0.13083,0.01926,0.91331,Down
TRBV7-3;TRBJ2-2,-0.11826,0.04409,0.92130,Down
TRAV13-1;TRAJ35,-0.11817,0.01125,0.92136,Down
TRAV10;TRAJ45,-0.11329,0.00975,0.92448,Down
TRAV26-1;TRAJ22,-0.11291,0.04770,0.92472,Down
TRAV17;TRAJ44,-0.11116,0.04408,0.92584,Down
TRAV27;TRAJ20,-0.10528,0.04717,0.92963,Down
TRBV25-1;TRBJ1-5,-0.10523,0.00662,0.92966,Down
TRBV5-1;TRBJ1-3,-0.10352,0.03401,0.93076,Down
TRBV5-1;TRBJ2-4,-0.09974,0.02157,0.93320,Down
TRAV35;TRAJ54,-0.09819,0.01330,0.93421,Down
TRAV23DV6;TRAJ11,-0.09536,0.00460,0.93604,Down
TRBV5-6;TRBJ1-5,-0.08814,0.04824,0.94074,Down
TRBV5-8;TRBJ2-5,-0.08653,0.04071,0.94178,Down
TRAV4;TRAJ44,-0.08615,0.01269,0.94204,Down
TRAV6;TRAJ47,-0.08112,0.01793,0.94532,Down
TRBV7-3;TRBJ1-6,-0.07920,0.00200,0.94659,Down
TRAV27;TRAJ15,-0.07873,0.02282,0.94689,Down
TRAV27;TRAJ44,-0.07170,0.03461,0.95152,Down
TRAV3;TRAJ29,-0.07155,0.01304,0.95161,Down
TRAV30;TRAJ57,-0.06905,0.01547,0.95326,Down
TRAV12-2;TRAJ58,-0.06608,0.03821,0.95523,Down
TRAV8-2;TRAJ33,-0.06583,0.03777,0.95539,Down
TRBV7-4;TRBJ1-5,-0.06559,0.04401,0.95556,Down
TRAV1-2;TRAJ40,-0.06375,0.02325,0.95678,Down
TRAV3;TRAJ48,-0.06171,0.01771,0.95813,Down
TRAV13-2;TRAJ45,-0.05804,0.04165,0.96057,Down
