sample,Category,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
BW_1__TRD.csv,before,0.0004454342984409,0.0004454342984409,0.0044543429844097,0.0008908685968819,0.0031180400890868,0.0717149220489977,0.3648106904231626,0.5541202672605791
BW_2__TRD.csv,before,,0.002820874471086,0.005641748942172,,0.004231311706629,0.8251057827926658,0.1283497884344146,0.0338504936530324
BW_8__TRD.csv,before,0.0042372881355932,,0.0127118644067796,,0.0084745762711864,0.8389830508474576,0.135593220338983,
BW_5__TRD.csv,before,0.0110650069156293,,0.0290456431535269,0.0082987551867219,0.0082987551867219,0.65283540802213,0.2572614107883817,0.0331950207468879
BW_11__TRD.csv,before,0.0015037593984962,0.000501253132832,0.0160401002506265,0.0015037593984962,0.006516290726817,0.5448621553884712,0.2461152882205513,0.1829573934837092
BW_12__TRD.csv,before,0.0085197018104366,0.0063897763578274,0.0138445154419595,0.0063897763578274,0.0138445154419595,0.5026624068157615,0.1916932907348242,0.2566560170394036
BW_13__TRD.csv,before,0.0018885741265344,0.0009442870632672,0.0321057601510859,0.0009442870632672,0.0066100094428706,0.8526912181303116,0.0906515580736544,0.0141643059490084
BW_15__TRD.csv,before,0.0005649717514124,,0.0460451977401129,,0.0033898305084745,0.8706214689265537,0.0655367231638418,0.0138418079096045
BW_17__TRD.csv,after,,0.0007911392405063,0.0094936708860759,0.0011867088607594,0.0201740506329113,0.3777689873417721,0.5680379746835443,0.0225474683544303
BW_4__TRD.csv,after,0.0045871559633027,0.003440366972477,0.018348623853211,,0.0240825688073394,0.4518348623853211,0.3394495412844037,0.1582568807339449
BW_9__TRD.csv,after,,,0.0263157894736842,0.0032894736842105,0.0131578947368421,0.506578947368421,0.3289473684210526,0.1217105263157894
BW_6__TRD.csv,after,0.0018518518518518,,0.0111111111111111,0.0074074074074074,0.0111111111111111,0.5185185185185185,0.3537037037037037,0.0962962962962963
BW_7__TRD.csv,after,0.0030674846625766,,0.0020449897750511,,0.0061349693251533,0.2699386503067484,0.4948875255623722,0.2239263803680981
BW_16__TRD.csv,after,0.0010947763528307,0.0006255864873318,0.0051610885204879,0.0017203628401626,0.0118861432593056,0.480137629027213,0.3378167031592117,0.1615577103534563
BW_14__TRD.csv,after,,,0.0256410256410256,,0.0085470085470085,0.7094017094017094,0.1623931623931624,0.094017094017094
BW_10__TRD.csv,after,0.0042158516020236,0.0016863406408094,0.0193929173693086,0.0008431703204047,0.0075885328836424,0.6197301854974705,0.215008431703204,0.1315345699831366
