,TRAV14DV4;TRDJ1,TRAV14DV4;TRDJ2,TRAV14DV4;TRDJ3,TRAV23DV6;TRDJ1,TRAV23DV6;TRDJ2,TRAV23DV6;TRDJ3,TRAV23DV6;TRDJ4,TRAV29DV5;TRDJ1,TRAV29DV5;TRDJ2,TRAV29DV5;TRDJ3,TRAV29DV5;TRDJ4,TRAV36DV7;TRDJ1,TRAV36DV7;TRDJ2,TRAV36DV7;TRDJ3,TRAV36DV7;TRDJ4,TRAV38-2DV8;TRDJ1,TRAV38-2DV8;TRDJ2,TRAV38-2DV8;TRDJ3,TRAV38-2DV8;TRDJ4,TRDV1;TRDJ1,TRDV1;TRDJ2,TRDV1;TRDJ3,TRDV1;TRDJ4,TRDV2;TRDJ1,TRDV2;TRDJ2,TRDV2;TRDJ3,TRDV2;TRDJ4,TRDV3;TRDJ1,TRDV3;TRDJ2,TRDV3;TRDJ3,TRDV3;TRDJ4
iRNormal_097__TRD.csv,0.0004203446826397646,,,,0.0004203446826397646,,,0.009247583018074821,,0.0012610340479192938,,0.0004203446826397646,,,,0.0016813787305590584,,,,0.8991172761664565,0.007145859604875998,0.0012610340479192938,0.0016813787305590584,0.0533837746952501,0.0012610340479192938,0.008406893652795292,0.0004203446826397646,0.012610340479192938,0.0004203446826397646,0.0008406893652795292,
iRNormal_JH__TRD.csv,0.000975609756097561,,0.000975609756097561,0.002926829268292683,,,,0.03219512195121951,,0.001951219512195122,,0.000975609756097561,,,,0.002926829268292683,0.000975609756097561,0.005853658536585366,,0.22146341463414634,0.007804878048780488,0.003902439024390244,0.002926829268292683,0.5970731707317073,0.006829268292682927,0.09073170731707317,,0.016585365853658537,0.000975609756097561,0.001951219512195122,
iRNormal_KW_R__TRD.csv,0.001841620626151013,,,0.0027624309392265192,,,,0.010128913443830571,,,0.001841620626151013,0.0009208103130755065,,,,0.011049723756906077,,,,0.3397790055248619,0.010128913443830571,0.008287292817679558,0.003683241252302026,0.2596685082872928,,0.02302025782688766,,0.3149171270718232,0.010128913443830571,0.0009208103130755065,0.0009208103130755065
iRNormal_XH__TRD.csv,0.00036258158085569254,,,0.0009064539521392314,,,0.00018129079042784627,0.008158085569253081,0.00018129079042784627,,,0.00036258158085569254,,,,0.0038071065989847717,,,,0.15355329949238578,0.0029006526468455403,0.0018129079042784628,0.0007251631617113851,0.07324147933284988,0.00018129079042784627,0.01504713560551124,,0.7374909354604786,0.0007251631617113851,0.00036258158085569254,
HL_W_LS0121__TRD.csv,0.0018050541516245488,,,0.0018050541516245488,,,,0.018050541516245487,,,,0.0036101083032490976,,0.0009025270758122744,,0.017148014440433214,,0.0009025270758122744,,0.148014440433213,0.009025270758122744,0.005415162454873646,0.004512635379061372,0.6001805054151624,0.0009025270758122744,0.04693140794223827,,0.13898916967509026,0.0018050541516245488,,
BW_CT0530__TRD.csv,,,,,,,,0.007320644216691069,,,,0.007320644216691069,,0.004392386530014641,,0.01171303074670571,,,,0.17423133235724744,0.01903367496339678,0.005856515373352855,0.0029282576866764276,0.5988286969253295,0.0029282576866764276,0.05710102489019034,,0.10688140556368961,,0.0014641288433382138,
BW_CT0806__TRD.csv,0.0023584905660377358,,,0.0011792452830188679,0.0011792452830188679,,,0.014150943396226415,,,,0.00589622641509434,,,,0.030660377358490566,,,,0.1403301886792453,0.02122641509433962,0.0047169811320754715,,0.5636792452830188,,0.055424528301886794,,0.15683962264150944,0.0023584905660377358,,
DDY__TRD.csv,,,,,,,,0.02702702702702703,,,,,,,,,,,,0.1972972972972973,0.002702702702702703,,,0.5594594594594594,0.010810810810810811,0.11621621621621622,,0.08378378378378379,0.002702702702702703,,
GH03_HJ625__TRD.csv,,,,,,,,0.050724637681159424,,,,,,,,,,,,0.322463768115942,0.018115942028985508,0.018115942028985508,,0.5,0.0036231884057971015,0.06884057971014493,,0.018115942028985508,,,
GH03_W_HNY1228__TRD.csv,,,,0.0023446658851113715,,,,0.012895662368112544,,,,0.0011723329425556857,,,,0.010550996483001172,0.0023446658851113715,,,0.5216881594372802,0.021101992966002344,0.005861664712778429,0.007033997655334115,0.3305978898007034,0.0035169988276670576,0.022274325908558032,0.0023446658851113715,0.053927315357561546,,0.0023446658851113715,
GH03_W_LXZ1225__TRD.csv,,,,0.003929273084479371,0.0009823182711198428,,,0.009823182711198428,,0.0009823182711198428,,0.0009823182711198428,,,,0.011787819253438114,,0.0019646365422396855,,0.36345776031434185,0.03536345776031434,0.004911591355599214,0.009823182711198428,0.4636542239685658,0.0137524557956778,0.0275049115913556,,0.05009823182711198,0.0009823182711198428,,
GH03_W_ZXM1225__TRD.csv,0.003800675675675676,,0.0004222972972972973,0.0029560810810810812,,0.0008445945945945946,,0.014358108108108109,0.0008445945945945946,0.0004222972972972973,,0.001266891891891892,0.0008445945945945946,,,0.01097972972972973,0.0008445945945945946,,,0.2846283783783784,0.009712837837837838,0.006756756756756757,0.0016891891891891893,0.5050675675675675,0.010557432432432432,0.08868243243243243,0.00633445945945946,0.046875,0.0016891891891891893,0.0004222972972972973,
BW_17__TRD.csv,,,,0.00039556962025316455,,0.00039556962025316455,,0.00870253164556962,,0.00039556962025316455,0.00039556962025316455,0.0011867088607594937,,,,0.018591772151898733,,0.0015822784810126582,,0.2634493670886076,0.10917721518987342,0.0011867088607594937,0.003955696202531646,0.5367879746835443,0.0007911392405063291,0.029272151898734177,0.0011867088607594937,0.021360759493670885,0.0007911392405063291,0.00039556962025316455,
BW_1__TRD.csv,,,0.00044543429844097997,0.00044543429844097997,,,,0.004454342984409799,,,,0.0008908685968819599,,,,0.0026726057906458797,,0.00044543429844097997,,0.06859688195991091,0.0017817371937639199,0.0008908685968819599,0.00044543429844097997,0.2423162583518931,0.004899777282850779,0.11670378619153675,0.0008908685968819599,0.5518930957683742,0.0008908685968819599,0.0013363028953229399,
BW_2__TRD.csv,,,,0.0028208744710860366,,,,0.005641748942172073,,,,,,,,0.0028208744710860366,,0.0014104372355430183,,0.8053596614950634,0.009873060648801129,0.009873060648801129,,0.10296191819464035,0.0014104372355430183,0.023977433004231313,,0.028208744710860368,0.0028208744710860366,0.0028208744710860366,
BW_4__TRD.csv,0.0045871559633027525,,,0.0022935779816513763,,,0.0011467889908256881,0.017201834862385322,,0.0011467889908256881,,,,,,0.020642201834862386,,0.0011467889908256881,0.0022935779816513763,0.4231651376146789,0.017201834862385322,0.009174311926605505,0.0022935779816513763,0.2706422018348624,0.0045871559633027525,0.06422018348623854,,0.15711009174311927,,0.0011467889908256881,
BW_8__TRD.csv,0.00423728813559322,,,,,,,0.00847457627118644,,0.00423728813559322,,,,,,0.00847457627118644,,,,0.8305084745762712,0.00423728813559322,0.00423728813559322,,0.09322033898305085,0.01694915254237288,0.025423728813559324,,,,,
BW_9__TRD.csv,,,,,,,,0.02631578947368421,,,,0.003289473684210526,,,,0.013157894736842105,,,,0.4967105263157895,0.006578947368421052,0.003289473684210526,,0.2138157894736842,0.009868421052631578,0.09868421052631579,0.006578947368421052,0.1118421052631579,,0.009868421052631578,
BW_5__TRD.csv,0.009681881051175657,,0.0013831258644536654,,,,,0.027662517289073305,,0.0013831258644536654,,0.008298755186721992,,,,0.008298755186721992,,,,0.636237897648686,0.012448132780082987,0.0013831258644536654,0.0027662517289073307,0.24204702627939143,0.006915629322268326,0.006915629322268326,0.0013831258644536654,0.029045643153526972,0.0027662517289073307,,0.0013831258644536654
BW_6__TRD.csv,0.001851851851851852,,,,,,,0.009259259259259259,,0.001851851851851852,,0.005555555555555556,,0.001851851851851852,,0.005555555555555556,0.001851851851851852,0.003703703703703704,,0.4981481481481482,0.011111111111111112,0.003703703703703704,0.005555555555555556,0.2518518518518518,0.003703703703703704,0.09444444444444444,0.003703703703703704,0.09259259259259259,,0.003703703703703704,
BW_7__TRD.csv,0.003067484662576687,,,,,,,0.002044989775051125,,,,,,,,0.006134969325153374,,,,0.2668711656441718,0.003067484662576687,,,0.4274028629856851,0.005112474437627812,0.05828220858895705,0.00408997955010225,0.2198364008179959,0.00408997955010225,,
