,TRGJ1,TRGJP,TRGJP1,TRGJP2
iRNormal_097__TRG.csv,0.9719838257138141,0.009531275788083842,0.013244759861363262,0.005240138636738736
iRNormal_JH__TRG.csv,0.7676484992653747,0.16784439935632828,0.025397047505772055,0.03911005387252501
iRNormal_KW_R__TRG.csv,0.6595833769496493,0.22171045744792212,0.07191458180676227,0.04679158379566628
iRNormal_XH__TRG.csv,0.9500050576572932,0.010317620878009305,0.005892170746510217,0.033785150718187336
HL_W_LS0121__TRG.csv,0.8274574245593068,0.11214022507718355,0.024947714371078577,0.03545463599243103
GH03_W_ZXM1225__TRG.csv,0.7459171494279643,0.12890454426363135,0.07336030974353003,0.05181799656487439
BW_CT0530__TRG.csv,0.7823865088152627,0.15313857422706753,0.03219487266842688,0.032280044289242825
BW_CT0806__TRG.csv,0.7763867904165768,0.15756529246708395,0.0295704726958774,0.036477444420461906
DDY__TRG.csv,0.7097396335583414,0.18032786885245902,0.05785920925747348,0.052073288331726135
GH03_HJ625__TRG.csv,0.7477569331158238,0.18291190864600326,0.02365415986949429,0.04567699836867863
GH03_W_HNY1228__TRG.csv,0.6934178106300598,0.18279948374985333,0.021001994602839375,0.10278071101724745
GH03_W_LXZ1225__TRG.csv,0.5741087010720518,0.1612440787833458,0.026115681874844178,0.23853153826975818
BW_17__TRG.csv,0.5619708641598657,0.29189230417206924,0.01449164823430707,0.13164518343375792
BW_1__TRG.csv,0.5929030653926758,0.13199303804212695,0.021773878449898768,0.25333001811529854
BW_2__TRG.csv,0.9267344497607656,0.023848684210526317,0.010242224880382775,0.03917464114832536
BW_4__TRG.csv,0.824865844309708,0.05408042372290752,0.027179594396822077,0.09387413757056241
BW_16__TRG.csv,0.49396417445482865,0.17440615264797507,0.044879283489096575,0.2867503894080997
BW_8__TRG.csv,0.8644507307873645,0.010136727958510137,0.06341348420556342,0.061999057048562
BW_9__TRG.csv,0.8834993503681248,0.053702901689042876,0.022953659592897357,0.03984408834993504
BW_5__TRG.csv,0.7028505244192781,0.058168715011903994,0.16794286081976706,0.07103789974905089
BW_6__TRG.csv,0.8579826732673267,0.07147277227722772,0.017636138613861384,0.05290841584158416
BW_7__TRG.csv,0.6369565217391304,0.09528985507246376,0.009420289855072464,0.25833333333333336
BW_10__TRG.csv,0.8335219672805845,0.044860582364440786,0.030250025722810988,0.0913674246321638
BW_11__TRG.csv,0.7525224979547314,0.09708208344695937,0.037632942459776386,0.11276247613853287
BW_12__TRG.csv,0.426699716713881,0.024905571293673278,0.022544853635505194,0.5258498583569405
BW_13__TRG.csv,0.8688336520076482,0.01988527724665392,0.007074569789674952,0.10420650095602295
BW_14__TRG.csv,0.8715596330275229,0.03853211009174312,0.029357798165137616,0.060550458715596334
BW_15__TRG.csv,0.8809081977950005,0.012716952297784084,0.004311756358476149,0.10206309354873921
BF__TRG.csv,0.5831593597773138,0.18928322894919972,0.16144745998608212,0.06610995128740431
iRNormal_088_R__TRG.csv,0.8092570754716981,0.08038522012578617,0.01650943396226415,0.09384827044025157
WJW__TRG.csv,0.6720246238030095,0.09678522571819426,0.1323529411764706,0.09883720930232558
LFJ__TRG.csv,0.557863031071655,0.27782181357006974,0.11929296131896006,0.04502219403931516
SS03F_W_1_HJ__TRG.csv,0.7457158651188502,0.19181868435599778,0.023032983231988206,0.03943246729316381
WDM__TRG.csv,0.7706091170338649,0.16352059503014593,0.010142559305798163,0.05572772863019102
WGF__TRG.csv,0.48810727039956875,0.4230173168923927,0.05579138872043663,0.033084023987601914
HL_W_XQF1225__TRG.csv,0.7214159772141597,0.1597721415977214,0.052172340521723405,0.06663954066639541
JGR__TRG.csv,0.6006845407872219,0.2022247575584712,0.06588705077010838,0.13120365088419852
