sample,Category,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
BW_11__TRG.csv,cancer,,,0.0004090537223888,,,0.134851377147532,0.0025906735751295,0.015953095173166,0.0715844014180529,0.1157622034360512,0.0002727024815925,0.0004090537223888,0.0189528224706844,0.0449959094627761,,,0.0012271611671666,0.0289064630488137,,0.0008181074447777,0.0140441778020179,0.0001363512407962,,,,,0.0077720207253886,0.0002727024815925,,0.0016362148895554,0.0394055085901281,,0.0196345786746659,0.0049086446686664,0.3802836105808563,0.0939460049086446,0.0008181074447777,0.0004090537223888
BW_1__TRG.csv,cancer,,,,,,0.0594608034667708,0.0001065605796895,0.0087024473413135,0.0482719425993677,0.1187084857741626,0.0031612971974567,0.0003552019322985,0.0400667779632721,0.1361844208432494,,0.0073171598053493,0.1629311263453273,0.1304656697332433,0.0001065605796895,0.0004262423187582,0.0007459240578268,0.0002131211593791,,7.104038645970234e-05,,,0.0184705004795226,,0.001420807729194,0.0001420807729194,0.0400667779632721,,0.0009945654104358,0.000710403864597,0.0893332859730756,0.1286186196852911,0.0025574539125492,0.0003907221255283
BW_2__TRG.csv,cancer,,,,,0.0002242822966507,0.1719497607655502,7.476076555023923e-05,0.0014952153110047,0.0356608851674641,0.1347188995215311,,0.0006728468899521,0.0010466507177033,0.4119318181818182,,0.0038875598086124,0.0011214114832535,0.0224282296650717,,0.0001495215311004,0.0002242822966507,0.0001495215311004,,,,,0.0165968899521531,,,0.0001495215311004,0.1374850478468899,,0.0007476076555023,0.0006728468899521,0.0314742822966507,0.023773923444976,0.0032894736842105,7.476076555023923e-05
BW_8__TRG.csv,cancer,,,0.0002357378595002,,,0.1595945308816596,0.0011786892975011,0.0155586987270155,0.057048561999057,0.1171617161716171,,0.0278170674210278,0.0011786892975011,0.1041961338991041,,0.0148514851485148,0.0016501650165016,0.0685997171145686,,0.0004714757190004,,,,,,,0.0231023102310231,,0.0002357378595002,,0.1614804337576614,0.0007072135785007,0.0033003300330033,0.0014144271570014,0.23008015087223,0.0082508250825082,0.0011786892975011,0.0007072135785007
BW_5__TRG.csv,cancer,,,,,6.43459236857345e-05,0.1517920339746477,0.0012225725500289,0.1591274692748214,0.038285824593012,0.0312721189112669,6.43459236857345e-05,0.0002573836947429,0.0014156103210861,0.1188469210475516,0.0001930377710572,0.0064989382922591,0.0191750852583488,0.1678141689723956,6.43459236857345e-05,0.0006434592368573,0.0007721510842288,0.0003217296184286,,0.0001930377710572,,,0.0619651245093623,,0.0001286918473714,0.0002573836947429,0.0546940351328743,0.0001286918473714,0.0010938807026574,0.0106170774081461,0.1161443922527507,0.0564957209960748,0.0001930377710572,0.0002573836947429
BW_15__TRG.csv,cancer,,,,,,0.153804169850453,5.457919441109049e-05,0.0010370046938107,0.0860713895862897,0.272623076083397,,5.457919441109049e-05,0.0013644798602772,0.0777207728413928,0.0044209147472983,0.0009824254993996,0.0008186879161663,0.0556707782993123,,5.457919441109049e-05,0.0002183167776443,5.457919441109049e-05,,,,,0.005457919441109,,0.0007641087217552,0.0034384892478987,0.0571444165484117,,0.0013099006658661,0.0089509878834188,0.2584324855365135,0.0082414583560746,0.0001091583888221,0.0012007422770439
BW_12__TRG.csv,cancer,,,,,,0.1309017941454202,0.0015344664778092,0.0159348441926345,0.0770774315391879,0.0413125590179414,,0.000590179414542,0.0070821529745042,0.0443814919735599,,,0.4264636449480642,0.0267941454202077,,,,0.0001180358829084,,,,,0.0416666666666666,0.0008262511803588,0.0009442870632672,0.0001180358829084,0.0558309726156751,0.0002360717658168,0.002360717658168,0.0121576959395656,0.0856940509915014,0.0223087818696883,0.0027148253068932,0.0029508970727101
BW_13__TRG.csv,cancer,,,,,,0.1644359464627151,0.0001912045889101,0.0017208413001912,0.0808795411089866,0.2326959847036329,,,0.0030592734225621,0.095793499043977,0.0038240917782026,0.0009560229445506,0.0011472275334608,0.0671128107074569,,0.0001912045889101,0.0001912045889101,0.0005736137667304,,,,,0.0084130019120458,,0.0013384321223709,0.0053537284894837,0.07151051625239,,0.002868068833652,0.0126195028680688,0.2282982791586998,0.0158699808795411,,0.0009560229445506
LFJ__TRG.csv,healthy,,,,,,0.1354629042485732,0.0010304375396322,0.0086398224476854,0.0198161065313887,0.0409004438807863,0.0277425491439442,0.0020608750792644,0.0099080532656943,0.1226220672162333,0.0005548509828788,0.086001902346227,0.0047558655675332,0.1063728598604946,0.0002377932783766,0.0023779327837666,0.0020608750792644,0.0010304375396322,,,,,0.010859226379201,7.926442612555485e-05,0.0011097019657577,0.0001585288522511,0.0333703233988585,0.0005548509828788,0.0102251109701965,0.0069752694990488,0.1072447685478757,0.2476220672162333,0.0088776157260621,0.0013474952441344
WJW__TRG.csv,healthy,,,,,,0.0923392612859097,0.0051299589603283,0.0502735978112175,0.0143638850889192,0.0930232558139534,0.0030779753761969,0.0170998632010943,0.0003419972640218,0.213406292749658,,0.0311217510259917,0.0772913816689466,0.0495896032831737,,0.0266757865937072,,,,,,,0.0061559507523939,,0.0023939808481532,,0.0191518467852257,0.0017099863201094,0.0017099863201094,0.0044459644322845,0.1983584131326949,0.0868673050615595,0.0030779753761969,0.0023939808481532
BF__TRG.csv,healthy,,,,,,0.1454418928322895,0.0786360473208072,0.1586638830897703,0.0389700765483646,0.0215727209464161,,,0.0069589422407794,0.0995128740431454,,0.0027835768963117,0.0041753653444676,0.0556715379262352,,,,0.0020876826722338,,,,,0.022268615170494,,,,0.022268615170494,,,,0.2143354210160055,0.1106471816283924,,0.0160055671537926
iRNormal_XH__TRG.csv,healthy,0.0001517297187942,,0.0001770180052599,,2.5288286465709084e-05,0.6305381347359903,0.0001011531458628,0.0016943151932025,0.0120372243576775,0.022506574954481,,0.0022506574954481,0.0082186931013554,0.2076421201699372,2.5288286465709084e-05,0.0004046125834513,0.012163665790006,0.0347461056038842,,0.0009862431721626,0.0002781711511227,0.0001770180052599,,5.057657293141817e-05,7.586485939712725e-05,,0.0030598826623507,5.057657293141817e-05,0.0001264414323285,0.0002023062917256,0.0222536920898239,7.586485939712725e-05,0.0001011531458628,0.0004551891563827,0.0286769168521141,0.0100647380133522,0.0003287477240542,0.0003540360105199
GH03_W_LXZ1225__TRG.csv,healthy,,,6.232859636000998e-05,,,0.1151209174769384,0.0003116429818,0.0061082024432809,0.0469334330590875,0.0643854400398903,,0.0028671154325604,0.0031164298180004,0.1110695587135377,0.0289827973074046,0.0052979306906008,0.1831214161057093,0.043941660433807,6.232859636000998e-05,0.0009349289454001,0.00024931438544,0.00056095736724,6.232859636000998e-05,,,,0.0172650211917227,,0.00043630017452,,0.0216280229369234,0.0007479431563201,0.0054849164796808,0.0046746447270007,0.200074794315632,0.1311393667414609,0.0049239591124407,0.00043630017452
GH03_W_ZXM1225__TRG.csv,healthy,,,0.0001746674041512,,,0.1947250443946319,0.0002620011062268,0.0149049518209076,0.032400803470059,0.1267212017117405,0.0001164449361008,0.0059678029751681,0.0111204913976303,0.1801112049139763,2.911123402521033e-05,0.0486739832901516,0.0057349131029664,0.0251229949637565,5.822246805042066e-05,0.0007568920846554,0.0004657797444033,0.0001746674041512,,2.911123402521033e-05,,,0.0145556170126051,2.911123402521033e-05,0.0002328898722016,5.822246805042066e-05,0.0232889872201682,0.0001164449361008,0.001804896509563,0.0015137841693109,0.181042764402783,0.1282932083491019,0.0010188931908823,0.0004948909784285
