fpr,tpr,class,auc
0.0,0.0,before,0.6605035405192763
0.0,0.024390243902439025,before,0.6605035405192763
0.0,0.1951219512195122,before,0.6605035405192763
0.03225806451612903,0.1951219512195122,before,0.6605035405192763
0.03225806451612903,0.24390243902439024,before,0.6605035405192763
0.06451612903225806,0.24390243902439024,before,0.6605035405192763
0.0967741935483871,0.2682926829268293,before,0.6605035405192763
0.12903225806451613,0.2682926829268293,before,0.6605035405192763
0.12903225806451613,0.2926829268292683,before,0.6605035405192763
0.16129032258064516,0.2926829268292683,before,0.6605035405192763
0.16129032258064516,0.34146341463414637,before,0.6605035405192763
0.1935483870967742,0.34146341463414637,before,0.6605035405192763
0.1935483870967742,0.4146341463414634,before,0.6605035405192763
0.25806451612903225,0.4634146341463415,before,0.6605035405192763
0.25806451612903225,0.5609756097560976,before,0.6605035405192763
0.2903225806451613,0.5853658536585366,before,0.6605035405192763
0.3548387096774194,0.5853658536585366,before,0.6605035405192763
0.3548387096774194,0.6341463414634146,before,0.6605035405192763
0.3870967741935484,0.6341463414634146,before,0.6605035405192763
0.41935483870967744,0.6585365853658537,before,0.6605035405192763
0.4838709677419355,0.6585365853658537,before,0.6605035405192763
0.4838709677419355,0.7073170731707317,before,0.6605035405192763
0.5806451612903226,0.7073170731707317,before,0.6605035405192763
0.5806451612903226,0.7317073170731707,before,0.6605035405192763
0.6129032258064516,0.7560975609756098,before,0.6605035405192763
0.7096774193548387,0.7560975609756098,before,0.6605035405192763
0.7096774193548387,0.7804878048780488,before,0.6605035405192763
0.7419354838709677,0.8048780487804879,before,0.6605035405192763
0.7419354838709677,0.926829268292683,before,0.6605035405192763
0.8064516129032258,0.926829268292683,before,0.6605035405192763
0.8064516129032258,0.9512195121951219,before,0.6605035405192763
0.8387096774193549,0.9512195121951219,before,0.6605035405192763
0.8709677419354839,0.975609756097561,before,0.6605035405192763
0.9032258064516129,0.975609756097561,before,0.6605035405192763
0.9354838709677419,1.0,before,0.6605035405192763
1.0,1.0,before,0.6605035405192763
