,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
iRNormal_097__TRB.csv,0.13874246987951808,0.05933734939759036,0.012387048192771085,0.01848644578313253,0.17887801204819276,0.011332831325301204,0.16577560240963857,0.023230421686746987,0.11242469879518072,0.008810240963855421,0.056325301204819274,0.00651355421686747,0.20775602409638555
iRNormal_JH__TRB.csv,0.12323426375861679,0.07953817757185369,0.013975213771800957,0.021264172976230837,0.09884356047764342,0.021396014615587447,0.15504576788337665,0.01939955550533017,0.14479978905337704,0.010396654989264323,0.05706859532150525,0.019135872226616942,0.23590236184879648
iRNormal_KW_R__TRB.csv,0.14537542004076462,0.09579683798821131,0.016250757450559136,0.02743348206907949,0.08951688426155456,0.013661653721148019,0.190712278962155,0.022310361923648984,0.1166198424502837,0.008924144769459593,0.05751115518096182,0.013882002974714923,0.20200517820745884
iRNormal_XH__TRB.csv,0.13264149047639553,0.13328740185735405,0.017138181974766395,0.03022865262885932,0.08088245848225178,0.019563938049921775,0.1499519154860842,0.02962580200663136,0.12569435473453042,0.012487620031864962,0.07237078183984269,0.012989995550388265,0.18313740688110924
HL_W_LS0121__TRB.csv,0.12871371125099682,0.0855489760252473,0.01588136484720973,0.020886709537302543,0.08402192171301559,0.020496462324176665,0.21388940733325415,0.033696998489912956,0.11875392368121893,0.013064798004649032,0.06741096424996182,0.014235539644026672,0.18339922289902777
BW_CT0806__TRB.csv,0.12136975083031286,0.07218793126980998,0.015847980709443578,0.024613658077920503,0.07058038490119656,0.022642138946602164,0.21110420236885608,0.05083486252445442,0.11634995981134079,0.01795598962677626,0.07199077935667814,0.01932088748691973,0.18520147408968896
DDY__TRB.csv,0.12521440823327615,0.1431021808380299,0.017642734623866698,0.022053418279833373,0.09360450869884832,0.026954177897574125,0.1732418524871355,0.019112962509188924,0.09262435677530018,0.0078412153883852,0.08355795148247978,0.015437392795883362,0.17961283999019848
GH03_HJ625__TRB.csv,0.09433790784331546,0.08579478324093429,0.0186312823775334,0.021176042897391622,0.10687994183404526,0.026447332545669364,0.17058983913478143,0.027537944197037173,0.1300554394256112,0.011724075252203944,0.07588839407434336,0.018085976551849497,0.212851040625284
GH03_W_HNY1228__TRB.csv,0.1495831067609208,0.11360340764908465,0.02653162950879101,0.024197933659597607,0.09300797534892151,0.028593438462932753,0.16689323907920972,0.029001268805510242,0.10882272974442632,0.010399673735725938,0.07490483958673191,0.010875475802066341,0.1635852818560812
GH03_W_LXZ1225__TRB.csv,0.10674834428857218,0.08796083450341083,0.021993315026280148,0.023086767976739274,0.07354713652008599,0.026429254836665465,0.184284098957492,0.03673007865405882,0.13157469650467823,0.012475304116601846,0.09035897563339505,0.011829172827694181,0.19298202015432597
