sample,Category,IGHJ1,IGHJ2,IGHJ2P,IGHJ3,IGHJ3P,IGHJ4,IGHJ5,IGHJ6
BW_13__IGH.csv,cancer,0.0395752532289038,0.0314192115073238,0.0013781677147268,0.1171141318673043,,0.5845765711488496,0.1155853447302029,0.1103513198026885
BW_12__IGH.csv,cancer,0.0224186283674683,0.0295402396532676,0.0007648508540834,0.1064502422027704,,0.5711906178295233,0.1233279510495453,0.1463074700433415
BW_11__IGH.csv,cancer,0.019463138310013,0.0455177374620454,0.0008230680379856,0.089271757699836,,0.5375879264910327,0.1288966046714298,0.1784397673276571
BW_1__IGH.csv,cancer,0.0165831367924528,0.0196049528301886,0.0002948113207547,0.0657429245283018,,0.6406987028301887,0.1181456367924528,0.1389298349056603
BW_2__IGH.csv,cancer,0.0243449274570343,0.0525834039181398,0.0006694171971911,0.0956856744719801,,0.5299461733927157,0.1554277439274297,0.1413426596355091
BW_5__IGH.csv,cancer,0.0187938523220848,0.0159288339458737,0.0008185766789174,0.0641496825927163,,0.5436518543267624,0.1581356498496491,0.1985215502839959
BW_15__IGH.csv,cancer,0.045807755070324,0.0255264589323179,0.0007187815681094,0.1062728261714196,,0.58660346569275,0.1186766648535239,0.1163940477115549
BW_8__IGH.csv,cancer,0.0076220608326741,0.0237290573092687,0.0003595311713525,0.042065147048249,,0.4742216150140217,0.1430934061983174,0.3089091824261163
iRNormal_XH__IGH.csv,healthy,0.0187368095948937,0.0310650126113141,0.0005662222679775,0.1369485767231173,,0.5001286868790858,0.1398569001904565,0.1726977917331549
WDM__IGH.csv,healthy,0.0186306780776826,0.0263331138907175,0.0002633311389071,0.1315997366688611,,0.5786701777485188,0.1237656352863726,0.12073732718894
BF__IGH.csv,healthy,0.0097087378640776,0.0006472491909385,,0.1449838187702265,,0.510032362459547,0.0802588996763754,0.2543689320388349
GH03_W_ZXM1225__IGH.csv,healthy,0.0158892875448487,0.0269684185624728,0.0004337026377005,0.0840200291763592,,0.5134250680124591,0.1472223317430903,0.212041162323069
GH03_W_LXZ1225__IGH.csv,healthy,0.0183591340363657,0.0239403107834209,0.0004112446024145,0.0824839173985841,,0.5310636547895309,0.1604147695561495,0.183326968833534
HL_W_LS0121__IGH.csv,healthy,0.0129783626675278,0.0210519941869853,0.0004238656547715,0.082007912158889,6.055223639593089e-05,0.5761141611496852,0.1257669949943484,0.1815961569513967
HL_W_XQF1225__IGH.csv,healthy,0.0147776318258585,0.0297429161193469,0.0003283918183524,0.0874695064740101,,0.545294614374179,0.1557280915744042,0.1666588478138487
WJW__IGH.csv,healthy,0.0010121457489878,0.0091093117408906,,0.1153846153846153,,0.5921052631578947,0.090080971659919,0.1923076923076923
LFJ__IGH.csv,healthy,0.0121461880490185,0.027816939594404,0.0002711202689513,0.1234681704804251,,0.5891443444311897,0.1048693200303654,0.1422839171456458
