,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-35,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-37,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV2-10,IGKV2-18,IGKV2-19,IGKV2-24,IGKV2-26,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-4,IGKV2-40,IGKV2D-18,IGKV2D-24,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-31,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGKV7-3
BW_15__IGK.csv,0.0179709670721041,0.005990322357368034,0.009841243872818912,0.029592947528048173,0.010885774872107876,0.028982589052560046,,0.0004719266563052547,0.06162103660263146,0.07073236724703158,0.060412904362490014,0.003939014491294526,0.02576719543426691,0.0023407562152740636,0.016347539374414025,0.0008431756259320551,3.775413250442038e-05,0.009155377132321943,0.00021394008419171548,0.024741541501230157,,0.0001824783071046985,0.0009375609571931061,,3.775413250442038e-05,,0.014805912297150193,0.00010067768667845434,0.05286207786160593,0.0003397871925397834,0.027107467138173833,,0.0023722179923610807,,5.6631198756630566e-05,0.021765257388798347,0.021085683003718783,0.006990806868735174,0.10420140571220025,0.09186838909408959,0.20400445498763553,,0.00021394008419171548,0.0017744442277077578,0.004593419454704479,0.005121977309766365,0.002919652913675176,0.05393177828256451,0.0014157799689157643,0.0006544049634099533,0.0007236208730013906,,4.404648792182378e-05
iRNormal_JH__IGK.csv,0.020780401965339635,0.0002768083991577116,0.00970806599903117,0.020048836910422824,0.006544541437228752,0.02575306713592281,,0.0006524769408717487,0.27209277035777485,0.0504681027750042,0.01465107312684745,0.014670845155358714,0.026346227991260764,0.00436961830098959,0.0009193993257738277,0.0017399385089913299,0.0012060937391871719,0.01658873192095143,0.0013247259102547625,0.1034867972279616,9.886014255632556e-06,0.0019772028511265112,0.003657825274584046,,6.92020997894279e-05,,0.0014334720670667208,0.00025703637064644646,0.020819946022362163,0.00034601049894713947,0.014028254228742598,,0.0008403112117287673,,5.931608553379534e-05,0.00777040720492719,0.003430446946704497,0.0008996272972625626,0.07409567684596602,0.05189168882781529,0.1562286832817613,,0.00011863217106759067,0.0010380314968414185,0.0011566636679090092,0.0021156070507053672,0.0008403112117287673,0.06248949610985339,0.0010973475823752138,0.0015026741668561485,5.931608553379534e-05,9.886014255632556e-06,0.00012851818532322323
iRNormal_KW_R__IGK.csv,0.010352439674202634,0.00038060439978686154,0.020552637588490522,0.007992692395524092,0.008297175915353582,0.043997868615361195,,0.0006850879196163508,0.06257136332496004,0.09035548450940092,0.010428560554160006,0.018725736469513588,0.017355560630280886,0.002892593438380148,0.007231483595950369,0.00197914287889168,0.0003044835198294892,0.02047651670853315,0.0005328461597016061,0.03273197838167009,,0.010809164953946867,0.00593742863667504,,7.61208799573723e-05,,0.0028164725584227755,0.0001522417599147446,0.030143868463119432,0.030524472862906295,0.014462967191900739,,0.003653802237953871,,0.0011418131993605847,0.006546395676334018,0.007307604475907742,0.005785186876760296,0.11859633097358606,0.1107558803379767,0.22014158483672072,,7.61208799573723e-05,0.005480703356930806,0.002892593438380148,0.003273197838167009,0.0008373296795310954,0.05100098957143945,0.007459846235822486,0.001750780239019563,,,0.0005328461597016061
iRNormal_XH__IGK.csv,0.026937460658347834,0.0017032621172288667,0.017689858184915024,0.04556226163587218,0.004424778761061947,0.03902691894693968,,0.0004535861073055134,0.06716777131854704,0.0840152553041804,0.006988928796238012,0.012468989521235235,0.01664383308031251,0.0018791424445514127,0.04405339356463139,0.0057392527863146595,0.001342244603251009,0.01118228607398082,0.0004443292479727478,0.054837634687303294,1.851371866553116e-05,0.008645906616803051,0.0060910134409597515,9.25685933276558e-06,2.7770577998296737e-05,9.25685933276558e-06,0.0015921798052356796,0.00021290776465360833,0.025382308290443217,0.009775243455400451,0.010960121449994446,,0.0005461547006331692,,6.479801532935905e-05,0.007498056059540119,0.0049709334616951165,0.004276669011737698,0.06842670418780317,0.0737679120228089,0.23476320953826785,9.25685933276558e-06,0.00027770577998296737,0.01239493464657311,0.0037490280297700594,0.006313178064946125,0.000638723293960825,0.07405487466212464,0.001582922945902914,0.001101566260599104,0.00014810974932424927,,0.0001295960306587181
HL_W_LS0121__IGK.csv,0.021175558462954887,0.00011306552955048376,0.010240506533572386,0.014181647849332105,0.011185411316244287,0.030543845197137827,,0.0001776744035793316,0.09208379770961542,0.08063187478800213,0.03345932063768959,0.007575390479882412,0.016572176188399478,0.004676067257837864,0.008197250892410073,0.0012033402787872914,2.422832776081795e-05,0.013059068663080875,0.0003311204793978453,0.04010595855340731,,0.0003230443701442393,0.0018494290190757701,,4.038054626802991e-05,,0.007187737235709325,0.00025035938686178546,0.054424900260050715,0.018566975174040153,0.031852174896221996,,0.002019027313401496,,0.00010498942029687778,0.03259517694755375,0.008770654649416097,0.01183957616578637,0.08252168435334593,0.07182891570157161,0.20569042658009076,,0.00021805494984736154,0.0008722197993894462,0.002180549498473615,0.0029639320960733956,0.002333995574292129,0.07351682253557526,0.0007268498328245384,0.001445623556395471,0.00022613105910096752,8.076109253605983e-06,0.00010498942029687778
HL_W_XQF1225__IGK.csv,0.01357125345848072,0.0006304066122649109,0.021591426470073196,0.017441249605995867,0.007144608272335657,0.027510244107449306,1.7511294785136414e-05,0.00036773719048786466,0.06430147445102091,0.09827338633418554,0.010244107449304802,0.01903477743144328,0.01938500332714601,0.0045879592337057405,0.010366686512800757,0.0015409939410920043,1.7511294785136414e-05,0.017388715721640458,0.0005778727279095017,0.038244667810737924,,0.007109585682765384,0.002329002206423143,,8.755647392568206e-05,,0.003502258957027283,0.00047280495919868316,0.04027597800581375,0.021206177984800196,0.041536791230343574,,0.001225790634959549,,0.00035022589570272826,0.02108359892130424,0.008580534444716842,0.012082793401744125,0.10576822050222394,0.11517178580184219,0.15823205967849263,,0.0006128953174797745,0.014639442440374042,0.0019262424263650055,0.00204882148986096,0.0022939796168528702,0.062025006128953175,0.002066332784646097,0.0026442055125555984,0.00024515812699190976,,0.00024515812699190976
BW_CT0806__IGK.csv,0.013553279384301963,0.0006696470677003754,0.015458472450153736,0.018382283590817346,0.012063078867447606,0.025389998679569162,,0.0003772659536340143,0.05938166110199385,0.07091656763435383,0.010742648029728557,0.010780374625091958,0.015496199045517137,0.006969988493388414,0.008092354705449606,0.0025937034312338483,4.715824420425179e-05,0.014288947993888291,0.00046215079320166753,0.030228434534925394,,0.0006224888234961235,0.0019617829588968743,1.8863297681700716e-05,0.000132043083771905,,0.014411559428819345,0.00052817233508762,0.06924716578952332,0.025456020221455114,0.03629298473959217,,0.0023673438590534395,,0.00015090638145360573,0.024871257993322394,0.01426065304736574,0.012176258653537811,0.08525267387244638,0.12010261633938846,0.18019165110444607,,0.0005847622281327222,0.0017354233867164658,0.004659234527380076,0.0036311848037273876,0.0024710919963027937,0.07991436062852508,0.0015373587610586082,0.0009997547771301379,0.00027351781638466037,4.715824420425179e-05,0.00020749627449870786
DDY__IGK.csv,0.00935566621397314,,0.008450279161007998,0.01863588350686585,0.008978421608570998,0.044439414516372414,,,0.06254715557567526,0.0872189527689754,0.02135204466576128,0.012222725215029425,0.017805945374981137,,0.005658669081032141,0.0005281424475629999,,0.025728082088426134,0.000679040289723857,0.033650218801871135,,0.017277802927418137,0.0012826316583672854,,0.0008299381318847141,,0.015391579900407425,,0.10593028519692169,0.003696997132940999,0.0740153915799004,,0.004451486343745284,,0.000679040289723857,0.02655802022031085,0.014561641768522711,0.016825109400935567,0.06564056133997284,0.06647049947185756,0.14652180473819224,,,0.004074241738343142,0.0036215482118605704,0.0021880187113324278,0.004451486343745284,0.0634525426286404,0.004149690659423571,,0.000679040289723857,,
GH03_HJ625__IGK.csv,0.023199593423347938,0.000315921047209593,0.0574701591967364,0.0295180143675398,0.004285537683886653,0.054901583725945356,,0.00010988558163811931,0.12498111341565595,0.2206090408362293,0.01431259700836504,0.0053569221048583165,0.024792934357100668,0.005411864895677376,0.02616650412757716,0.0009614988393335439,9.61498839333544e-05,0.009807288161202148,5.4942790819059655e-05,0.04182519951100916,,0.0030767962858673408,0.02630386110462481,,,,0.0033103031468483444,9.61498839333544e-05,0.03745724764089392,0.00010988558163811931,0.01922997678667088,,0.001098855816381193,,,0.022155680397785805,0.0019642047717813825,0.0026372539593148632,0.039737373459884894,0.036221034847465076,0.10503688034833729,,8.241418622858948e-05,0.00012362127934288422,0.0014834553521146107,0.00023350686098100353,0.0011263272117907229,0.048679312665686855,0.0012087413980193123,0.0037498454734008215,6.867848852382457e-05,,0.000631842094419186
GH03_W_HNY1228__IGK.csv,0.0191736659031136,0.0023754984304742515,0.01310766098243828,0.04521930940867057,0.011410876389242385,0.019894799355221853,4.241961482989734e-05,0.00033935691863917875,0.06952574870620175,0.08263340968864002,0.00559938915754645,0.005726648002036141,0.015737677101891914,0.010265546788835157,0.008356664121489776,0.00335114957156189,8.483922965979469e-05,0.010350386018494952,0.0004666157631288708,0.036692966827861204,,0.00029693730380928144,0.0010180707559175363,,,,0.002799694578773225,0.0007635530669381522,0.048994655128531434,0.023118690082294054,0.03970475948078391,,0.0013998472893866124,,0.0005514549927886655,0.019555442436582676,0.012344107915500127,0.007338593365572241,0.08416051582251634,0.07868838550945957,0.23419869347586325,,0.0004666157631288708,0.0032663103419020957,0.008865699499448544,0.0019937218970051754,0.005047934164757784,0.06121150419954187,0.0009756511410876389,0.0021634003563247646,0.0005514549927886655,,0.00016967845931958937
GH03_W_LXZ1225__IGK.csv,0.016358272995441136,0.0006368999731831591,0.01583869670152856,0.017615312416197373,0.01208433896486994,0.03761061946902655,,0.001005631536604988,0.07778559935639581,0.08799275945293644,0.008681952266023063,0.020749530705282918,0.019559533386967014,0.00390520246714937,0.006804773397693751,0.0023464735854116384,0.00015084473049074818,0.016224188790560472,0.0014581657280772326,0.04200187717886833,,0.004408018235451863,0.004642665593993027,1.6760525610083132e-05,0.00018436578171091445,,0.0040392866720300345,0.0006536604987932422,0.04711383748994368,0.0110284258514347,0.03077232502011263,,0.0014916867792973988,,0.00031844998659157954,0.0178834808259587,0.007927728613569322,0.0057991418610887635,0.10317779565567176,0.0917135961383749,0.18884084204880666,,0.00040225261464199515,0.002296192008581389,0.004257173504961116,0.0027654867256637168,0.0010391525878251542,0.07408152319656744,0.002530839367122553,0.0027319656744435507,0.0006033789219629927,0.00016760525610083133,0.00030168946098149636
GH03_W_ZXM1225__IGK.csv,0.08708445379788768,0.000506644841965782,0.02018784831832885,0.025098406017381815,0.013328656611715188,0.043064811567091466,,0.00097431700378035,0.09499590786858413,0.08441482520752952,0.008476557932889045,0.015998285202073345,0.021746755524377413,0.003994699715499435,0.007190459487898983,0.001130207724385206,0.000272808761058498,0.01804435091001208,0.001013289683931564,0.035231302856697455,,0.003624459254062902,0.003546513893760474,3.8972680151214e-05,3.8972680151214e-05,,0.006352546864647882,0.00040921314158774697,0.0414864180209673,0.01286098444990062,0.02404614365329904,,0.002162983748392377,1.9486340075607e-05,5.8459020226820995e-05,0.009061148135157255,0.004930044039128571,0.008924743754628007,0.09033867259051405,0.07810125102303285,0.16025566078179196,,0.000292295101134105,0.0016173662262753809,0.002007093027787521,0.000545617522116996,0.000740480922873066,0.05992049573249152,0.002708601270509373,0.002669628590358159,0.00011691804045364199,1.9486340075607e-05,0.00035075412136092597
BW_1__IGK.csv,0.015954415954415956,0.0004748338081671415,0.01177587844254511,0.01396011396011396,0.00892687559354226,0.03798670465337132,,0.0005698005698005698,0.06685660018993353,0.051756885090218425,0.015194681861348529,0.013010446343779677,0.011490978157644825,0.002564102564102564,0.006362773029439696,0.0026590693257359924,9.49667616334283e-05,0.024786324786324785,0.0012345679012345679,0.044349477682811014,,0.004273504273504274,0.0049382716049382715,,0.0003798670465337132,,0.029249762583095917,0.0008547008547008547,0.14188034188034188,0.02735042735042735,0.030104463437796773,,0.003418803418803419,,9.49667616334283e-05,0.0201329534662868,0.015479582146248812,0.007407407407407408,0.09325735992402659,0.0737891737891738,0.14245014245014245,,0.0004748338081671415,0.0008547008547008547,0.0050332383665717,0.002754036087369421,0.0024691358024691358,0.05574548907882241,0.005508072174738842,0.0007597340930674264,0.0004748338081671415,,0.0008547008547008547
