fpr,tpr,class,auc
0.0,0.0,experiment,0.7151559454191033
0.0,0.013888888888888888,experiment,0.7151559454191033
0.0,0.027777777777777776,experiment,0.7151559454191033
0.017543859649122806,0.027777777777777776,experiment,0.7151559454191033
0.017543859649122806,0.2916666666666667,experiment,0.7151559454191033
0.03508771929824561,0.2916666666666667,experiment,0.7151559454191033
0.03508771929824561,0.3055555555555556,experiment,0.7151559454191033
0.14035087719298245,0.3472222222222222,experiment,0.7151559454191033
0.14035087719298245,0.3611111111111111,experiment,0.7151559454191033
0.15789473684210525,0.3611111111111111,experiment,0.7151559454191033
0.15789473684210525,0.4027777777777778,experiment,0.7151559454191033
0.17543859649122806,0.4027777777777778,experiment,0.7151559454191033
0.3157894736842105,0.5138888888888888,experiment,0.7151559454191033
0.3157894736842105,0.5277777777777778,experiment,0.7151559454191033
0.3333333333333333,0.5277777777777778,experiment,0.7151559454191033
0.3684210526315789,0.5694444444444444,experiment,0.7151559454191033
0.3684210526315789,0.5833333333333334,experiment,0.7151559454191033
0.38596491228070173,0.5833333333333334,experiment,0.7151559454191033
0.38596491228070173,0.5972222222222222,experiment,0.7151559454191033
0.43859649122807015,0.6805555555555556,experiment,0.7151559454191033
0.43859649122807015,0.6944444444444444,experiment,0.7151559454191033
0.47368421052631576,0.7638888888888888,experiment,0.7151559454191033
0.49122807017543857,0.7638888888888888,experiment,0.7151559454191033
0.5263157894736842,0.8472222222222222,experiment,0.7151559454191033
0.5263157894736842,0.875,experiment,0.7151559454191033
0.543859649122807,0.875,experiment,0.7151559454191033
0.543859649122807,0.8888888888888888,experiment,0.7151559454191033
0.5789473684210527,0.8888888888888888,experiment,0.7151559454191033
0.5789473684210527,0.9027777777777778,experiment,0.7151559454191033
0.5964912280701754,0.9027777777777778,experiment,0.7151559454191033
0.5964912280701754,0.9305555555555556,experiment,0.7151559454191033
0.6842105263157895,0.9305555555555556,experiment,0.7151559454191033
0.6842105263157895,0.9583333333333334,experiment,0.7151559454191033
0.7017543859649122,0.9583333333333334,experiment,0.7151559454191033
0.7017543859649122,0.9861111111111112,experiment,0.7151559454191033
0.7894736842105263,0.9861111111111112,experiment,0.7151559454191033
0.7894736842105263,1.0,experiment,0.7151559454191033
1.0,1.0,experiment,0.7151559454191033
